session_timestamp,starting_equity,ending_equity,total_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,max_drawdown_duration_days,total_trades,winning_trades,losing_trades,win_rate,expectancy,profit_factor,avg_gain,avg_loss,avg_slippage_pct,avg_execution_latency_ms
2026-08-12T01:31:33.556147,100000.0,100000.0,0.0,0.0,0.0,0.0,0,50,26,15,0.6341,-6.4604,0.9341,144.4048,-267.96,66.690575,1636.02
2026-08-13T01:30:29.306371,100000.0,99554.98,-0.445,0.0,0.0,0.0,0,50,26,15,0.6341,0.3347,1.0034,155.1201,-267.96,66.690575,2078.78
2026-08-14T00:43:47.241064,100000.0,99565.75,-0.4343,0.0,0.0,0.0,0,50,26,15,0.6341,0.3347,1.0034,155.1201,-267.96,66.690575,2078.78
2026-08-15T01:39:41.378520,100000.0,99548.62,-0.4514,0.0,0.0,0.0,0,50,23,17,0.575,-12.6043,0.893,183.0352,-277.2929,70.021517,2103.53
2026-08-18T01:31:56.804641,100000.0,99515.84,-0.4842,0.0,0.0,0.0,0,50,22,17,0.55,-14.6636,0.9344,200.2149,-277.2929,70.021517,573896.16
2026-08-19T07:18:10.611844,100000.0,99516.73,-0.4833,0.0,0.0,0.0,0,50,12,24,0.3243,-132.5549,0.3642,219.6883,-301.6317,75.016406,754040.06
2026-08-21T01:34:14.750334,100000.0,99509.15,-0.4909,0.0,0.0,0.0,0,50,12,24,0.3243,-132.5549,0.3642,219.6883,-301.6317,75.016406,754040.06
2026-08-27T01:32:49.550650,100000.0,99598.94,-0.4011,0.0,0.0,0.0,0,50,14,23,0.3684,-99.4893,0.505,253.2509,-305.2543,76.940213,728067.07
2026-08-28T01:22:46.696154,100000.0,99598.94,-0.4011,0.0,0.0,0.0,0,50,14,23,0.3684,-99.4893,0.505,253.2509,-305.2543,76.940213,728067.07
2026-09-03T20:04:07.395659,100000.0,99417.17,-0.5828,0.0,0.0,0.0,0,50,15,19,0.4286,-79.8535,0.616,262.8695,-336.8958,85.734732,681243.25
2026-09-05T10:34:27.323968,100000.0,99576.01,-0.424,0.0,0.0,0.0,0,50,15,19,0.4286,-79.8535,0.616,262.8695,-336.8958,85.734732,681243.25
2026-09-05T10:37:07.412659,100000.0,99576.01,-0.424,0.0,0.0,0.0,0,50,15,19,0.4286,-79.8535,0.616,262.8695,-336.8958,85.734732,681243.25
2026-09-05T10:37:35.382100,100000.0,99576.01,-0.424,0.0,0.0,0.0,0,50,15,19,0.4286,-79.8535,0.616,262.8695,-336.8958,85.734732,681243.25
2026-09-05T10:59:10.347902,100000.0,100000.0,0.0,0.0,0.0,0.0,0,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-05T06:14:55.552879,100000.0,100000.0,0.0,0.0,0.0,0.0,0,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-05T06:14:56.800400,100000.0,99576.01,-0.424,0.0,0.0,0.0,0,50,15,19,0.4286,-79.8535,0.616,262.8695,-336.8958,85.734732,681243.25
